time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-05-11T21:53:16.940Z,19.0799999237061,-155.115005493164,14.1700000762939,2.65,ml,9,309,,0.330000013,hv,hv73397082,2023-05-11T21:58:48.810Z,"40 km ESE of Pāhala, Hawaii",earthquake,5.21,28.6100006,2.51,12,automatic,hv,hv
2023-05-11T21:47:50.920Z,51.8545,-178.077666666667,3.48,1.67,ml,5,205,,0.15,av,av91883126,2023-05-11T22:04:38.810Z,"99 km W of Adak, Alaska",earthquake,0.64,0.44,0.19023507181662,5,reviewed,av,av
2023-05-11T21:44:37.930Z,19.4121666666667,-155.273166666667,0.44,2.16,ml,21,94,,0.1,hv,hv73397062,2023-05-11T23:53:08.550Z,"5 km SW of Volcano, Hawaii",earthquake,0.13,0.18,0.197988699554609,9,reviewed,hv,hv
2023-05-11T21:38:57.009Z,36.4731,71.0183,125.935,4,mb,30,91,2.513,0.56,us,us6000kb8k,2023-05-11T22:17:47.040Z,"46 km SSE of Jurm, Afghanistan",earthquake,6.61,8.715,0.157,11,reviewed,us,us
2023-05-11T21:35:12.350Z,19.3848323822021,-155.038833618164,3.97000002861023,1.72000003,md,32,134,,0.25,hv,hv73397047,2023-05-11T21:39:25.540Z,"13 km SSE of Eden Roc, Hawaii",earthquake,0.75,1.37,0.49000001,15,automatic,hv,hv
2023-05-11T21:34:57.930Z,44.7596667,-110.9676667,5.96,1.49,ml,14,108,0.02743,0.16,uu,uu60539676,2023-05-11T21:48:38.640Z,"15 km NE of West Yellowstone, Montana",earthquake,0.39,0.88,0.096,3,reviewed,uu,uu
2023-05-11T21:28:56.300Z,19.3926666666667,-155.277333333333,1.67,2.05,ml,24,50,,0.1,hv,hv73397037,2023-05-11T21:43:38.450Z,"7 km SW of Volcano, Hawaii",earthquake,0.24,0.16,0.100984300677483,8,reviewed,hv,hv
2023-05-11T21:27:34.140Z,38.8160019,-122.8251648,2.23,1.04,md,20,51,0.007783,0.02,nc,nc73886691,2023-05-11T21:44:13.517Z,"7km NW of The Geysers, CA",earthquake,0.25,0.45,0.26,22,automatic,nc,nc
2023-05-11T21:26:42.688Z,63.0597,-150.6366,107.8,1.4,ml,,,,0.19,ak,ak02361028as,2023-05-11T21:29:38.548Z,"63 km N of Petersville, Alaska",earthquake,,0.9,,,automatic,ak,ak
2023-05-11T21:25:17.381Z,21.8345,120.9534,10,4.6,mb,65,81,0.985,0.69,us,us6000kb8f,2023-05-11T21:45:09.040Z,"Taiwan region",earthquake,7.97,1.896,0.061,81,reviewed,us,us
2023-05-11T21:23:32.283Z,63.4103,-149.0515,79.6,1.5,ml,,,,0.49,ak,ak0236101kcs,2023-05-11T21:25:30.960Z,"5 km WNW of Cantwell, Alaska",earthquake,,0.5,,,automatic,ak,ak
2023-05-11T21:18:54.610Z,35.4885,-118.2921667,4.88,1.31,ml,24,55,0.1328,0.13,ci,ci40223111,2023-05-11T22:26:39.541Z,"21km ESE of Bodfish, CA",earthquake,0.19,0.64,0.154,14,reviewed,ci,ci
